node_id,type,name,source,label
DB12466,drug,Favipiravir,DrugBank,Drug
DB12483,drug,Copanlisib,DrugBank,Drug
DB12674,drug,Lurbinectedin,DrugBank,Drug
DB12836,drug,Grapiprant,DrugBank,Drug
DB12941,drug,Darolutamide,DrugBank,Drug
DB12978,drug,Pexidartinib,DrugBank,Drug
DB13014,drug,Hypericin,DrugBank,Drug
DB13421,drug,Edoxudine,DrugBank,Drug
DB13909,drug,Bismuth subgallate,DrugBank,Drug
DB13928,drug,Semaglutide,DrugBank,Drug
DB13943,drug,Testosterone cypionate,DrugBank,Drug
DB13944,drug,Testosterone enanthate,DrugBank,Drug
DB13946,drug,Testosterone undecanoate,DrugBank,Drug
DB13952,drug,Estradiol acetate,DrugBank,Drug
DB13953,drug,Estradiol benzoate,DrugBank,Drug
DB13954,drug,Estradiol cypionate,DrugBank,Drug
DB13955,drug,Estradiol dienanthate,DrugBank,Drug
DB13956,drug,Estradiol valerate,DrugBank,Drug
DB14126,drug,Tenofovir,DrugBank,Drug
DB14185,drug,Aripiprazole lauroxil,DrugBank,Drug
DB14481,drug,Calcium phosphate dihydrate,DrugBank,Drug
DB14513,drug,Magnesium,DrugBank,Drug
DB14517,drug,Aluminium phosphate,DrugBank,Drug
DB14518,drug,Aluminum acetate,DrugBank,Drug
DB14533,drug,Zinc chloride,DrugBank,Drug
DB14548,drug,"Zinc sulfate, unspecified form",DrugBank,Drug
DB14582,drug,Patisiran,DrugBank,Drug
DB14649,drug,Dexamethasone acetate,DrugBank,Drug
DB14840,drug,Ripretinib,DrugBank,Drug
DB14879,drug,Cefiderocol,DrugBank,Drug
DB14999,drug,Human interferon beta,DrugBank,Drug
DB15093,drug,Somapacitan,DrugBank,Drug
DB15305,drug,Risdiplam,DrugBank,Drug
DB15444,drug,Elexacaftor,DrugBank,Drug
DB15534,drug,Colchiceine,DrugBank,Drug
DB15690,drug,Fluoroestradiol F-18,DrugBank,Drug
DB00023,drug,Asparaginase Escherichia coli,DrugBank,Drug
DB00059,drug,Pegaspargase,DrugBank,Drug
DB00322,drug,Floxuridine,DrugBank,Drug
DB00532,drug,Mephenytoin,DrugBank,Drug
DB00627,drug,Niacin,DrugBank,Drug
DB00636,drug,Clofibrate,DrugBank,Drug
DB00754,drug,Ethotoin,DrugBank,Drug
DB00939,drug,Meclofenamic acid,DrugBank,Drug
DB01109,drug,Heparin,DrugBank,Drug
